_id,Arrest_Year,Arrest_Month,EventID,ArrestID,PersonID,Perceived_Race,Sex,Age_group__at_arrest_,Youth_at_arrest__under_18_years,ArrestLocDiv,StripSearch,Booked,Occurrence_Category,Actions_at_arrest___Concealed_i,Actions_at_arrest___Combative__,Actions_at_arrest___Resisted__d,Actions_at_arrest___Mental_inst,Actions_at_arrest___Assaulted_o,Actions_at_arrest___Cooperative,SearchReason_CauseInjury,SearchReason_AssistEscape,SearchReason_PossessWeapons,SearchReason_PossessEvidence,ItemsFound,ObjectId
68,2020,July-Sept,1033616,6027489.0,322844,Middle-Eastern,M,Aged 25 to 34 years,Not a youth,XX,,,Assault & Other crimes against persons,,,,,,1.0,None,None,None,None,None,68
69,2020,Oct-Dec,1014134,6062709.0,331769,East/Southeast Asian,M,Aged 45 to 54 years,Not a youth,41,,1.0,Assault & Other crimes against persons,,,,,,,None,None,None,None,None,69
70,2020,Jan-Mar,1036208,6012495.0,304079,South Asian,M,Aged 45 to 54 years,Not a youth,51,1.0,1.0,Break & Enter,,,,,,1.0,1,1,0,0,0,70
71,2021,Jan-Mar,1058872,6050185.0,304079,East/Southeast Asian,M,Aged 55 to 64 years,Not a youth,51,,1.0,Police Category - Administrative,,,,,,,None,None,None,None,None,71
72,2021,Oct-Dec,1021349,6062288.0,315627,White,M,Aged 25 to 34 years,Not a youth,XX,,1.0,Break and Enter,,,,,,,None,None,None,None,None,72
73,2020,July-Sept,1017524,6048366.0,311239,Middle-Eastern,M,Aged 25 to 34 years,Not a youth,XX,,,Vehicle Related (inc. Impaired),,,1.0,,,,None,None,None,None,None,73
74,2020,Jan-Mar,1001763,6033919.0,335938,White,M,Aged 25 to 34 years,Not a youth,54,1.0,1.0,Weapons & Homicide,,,,,,,1,1,1,1,0,74
75,2020,Jan-Mar,1017129,6027426.0,335938,White,M,Aged 25 to 34 years,Not a youth,54,,1.0,Warrant,,,,,,1.0,None,None,None,None,None,75
76,2021,Jan-Mar,1022443,6030612.0,335938,White,M,Aged 25 to 34 years,Not a youth,54,,,Harassment/Threatening,,,,1.0,,,None,None,None,None,None,76
77,2020,July-Sept,1017512,6011156.0,320408,Unknown or Legacy,M,Aged 45 to 54 years,Not a youth,XX,,,Harassment & Threatening,,1.0,1.0,,,,None,None,None,None,None,77
78,2020,Oct-Dec,1043664,6031727.0,320408,Unknown or Legacy,M,Aged 45 to 54 years,Not a youth,51,,,Assault & Other crimes against persons,,,,,,,None,None,None,None,None,78
79,2021,Apr-June,1008304,6048094.0,320408,Unknown or Legacy,M,Aged 45 to 54 years,Not a youth,XX,,,Police Category - Administrative,,,,,,,None,None,None,None,None,79
80,2021,Apr-June,1030399,6030533.0,320408,Unknown or Legacy,M,Aged 45 to 54 years,Not a youth,XX,,,Assault,,,,,,,None,None,None,None,None,80
81,2021,July-Sept,1042068,6013610.0,320408,Unknown or Legacy,M,Aged 45 to 54 years,Not a youth,51,,,Mischief,,1.0,,,,,None,None,None,None,None,81
82,2021,Oct-Dec,1037508,6031338.0,320408,Unknown or Legacy,M,Aged 45 to 54 years,Not a youth,51,,,Mischief,,,,,,1.0,None,None,None,None,None,82
83,2020,Jan-Mar,1018920,6052111.0,319289,Black,M,Aged 18 to 24 years,Not a youth,XX,,,Warrant,,,,,,1.0,None,None,None,None,None,83
84,2020,Jan-Mar,1033870,6018672.0,319289,Black,M,Aged 18 to 24 years,Not a youth,XX,1.0,,Warrant,,,,,,,1,1,0,0,0,84
85,2020,Jan-Mar,1001375,6016930.0,319289,Black,M,Aged 18 to 24 years,Not a youth,53,1.0,1.0,Assault & Other crimes against persons,,1.0,,,,,0,0,0,0,0,85
86,2020,Apr-June,1057321,6027151.0,319289,Black,M,Aged 18 to 24 years,Not a youth,51,1.0,1.0,Other Offence,,,,,,1.0,0,0,0,0,0,86
87,2020,Apr-June,1017370,6010139.0,319289,Black,M,Aged 18 to 24 years,Not a youth,XX,,,Robbery & Theft,,,,,,1.0,None,None,None,None,None,87
88,2020,Apr-June,1059990,6030848.0,319289,Black,M,Aged 18 to 24 years,Not a youth,51,1.0,1.0,Sexual Related Crimes & Crimes Against Children,,1.0,,,1.0,,1,1,0,1,0,88
89,2020,July-Sept,1049528,6034004.0,319289,Black,M,Aged 18 to 24 years,Not a youth,51,1.0,1.0,Warrant,,,,,,1.0,0,0,0,0,0,89
90,2020,July-Sept,1004744,6041395.0,319289,Black,M,Aged 18 to 24 years,Not a youth,51,1.0,1.0,"FTA/FTC, Compliance Check & Parollee",,1.0,,1.0,,,0,0,0,0,1,90
