HH_ID,AGEGRP,AGEIMM,CF_RP,CFSTAT,CFSTRUCT,CIP2021,CITIZEN,CITOTH,CMA,EF_RP,EMPIN,HDGREE,WEIGHT
40965,6,99,1,2,2,13,1,5,999,1,26000,2,100.4176077
40966,13,99,3,6,9,4,1,5,835,3,66000,5,100.5951601
40967,11,6,1,2,2,5,2,5,535,1,9000,7,100.4176077
40968,11,99,3,6,9,13,1,5,999,3,99999999,1,100.1576517
40969,12,99,1,1,1,10,1,5,999,1,1000,5,100.4176077
40970,12,99,3,6,9,8,1,5,999,3,99999999,3,100.9644705
40971,8,99,3,6,9,5,1,5,462,3,110000,7,100.111806
40972,13,5,1,3,3,13,2,2,535,1,1,2,100.4176077
40973,11,6,1,1,1,13,2,5,933,1,7000,2,100.4811749
40974,12,1,3,6,9,4,2,5,535,3,99999999,5,100.4176077
40975,13,99,3,6,9,5,1,5,999,3,2000,5,100.111806
40976,11,99,3,6,9,13,1,5,999,3,99999999,2,100.111806
40977,9,99,1,2,2,13,1,5,999,1,46000,2,99.97458425
40978,8,99,1,1,1,1,1,5,999,1,99999999,7,100.4811749
40979,13,7,1,1,1,8,2,5,535,1,1,8,100.4176077
40980,11,99,3,6,9,8,1,5,999,3,88000,4,100.9644705
40981,12,99,3,6,9,13,1,5,933,3,1,2,100.4811749
40982,8,99,3,6,9,13,1,5,825,3,45000,2,100.5951601
40983,9,99,1,1,1,11,1,5,999,1,54000,3,100.1576517
40984,13,1,1,1,1,5,2,5,462,1,99999999,4,100.111806
40985,9,99,2,2,2,8,1,5,535,2,190000,7,100.4176077
40986,4,99,3,6,9,8,1,5,999,3,2000,5,100.1576517
40987,12,99,1,1,1,8,1,5,999,1,99999999,5,100.9644705
40988,10,99,1,2,2,5,1,5,933,1,9000,8,100.4811749
40989,8,99,1,2,2,10,1,5,835,1,100000,7,100.5951601
40990,13,99,3,6,9,13,1,5,999,3,99999999,2,100.4279472
40991,12,99,3,6,9,5,1,5,835,3,99999999,5,100.5951601
40992,13,5,3,6,9,10,2,5,535,3,99999999,5,100.4176077
