PP_ID,AGEGRP,EMPIN,HDGREE,WEIGHT
1262071102,10,72000,5,100.417607740762
1262071103,4,21000,2,100.417607740762
1262071204,3,3000,2,100.417607740762
1262081101,5,41000,8,100.417607740762
1262081102,5,28000,8,100.417607740762
1262111101,11,91000,1,100.417607740762
1262111102,11,75000,1,100.417607740762
1262111103,7,53000,2,100.417607740762
1262111104,5,45000,2,100.417607740762
1262121202,12,1000,2,100.417607740762
1262121203,12,3000,2,100.417607740762
1262131101,11,24000,1,100.111805957177
1262141102,12,1,2,100.417607740762
1262151101,10,100000,5,99.9745842484901
1262151102,10,19000,2,99.9745842484901
1262181101,6,33000,5,100.417607740762
1262181102,10,68000,1,100.417607740762
1262191101,9,78000,5,100.417607740762
1262191102,8,60000,7,100.417607740762
1262191103,3,9000,1,100.417607740762
1262191104,3,9000,1,100.417607740762
1262191105,4,28000,5,100.417607740762
1262201101,7,10000,2,100.595160125175
1262211101,7,92000,2,100.595160125175
1262211102,7,13000,5,100.595160125175
1262221101,6,16000,1,100.417607740762
1262231101,9,82000,2,100.481174883465
1262231102,9,5000,2,100.481174883465
1262241101,9,41000,5,100.417607740762
1262241102,5,37000,5,100.417607740762
1262251103,88,2000,88,100.481174883465
1262271101,9,5000,88,100.417607740762
1262281101,5,49000,7,100.417607740762
1262281102,5,77000,5,100.417607740762
1262291101,9,51000,2,100.417607740762
1262291102,4,28000,2,100.417607740762
1262301101,11,36000,2,99.9745842484901
1262301102,11,2000,2,99.9745842484901
1262311101,12,100000,6,100.417607740762
1262311102,8,68000,5,100.417607740762
1262321101,7,18000,3,100.111805957177
1262331101,11,4000,5,100.417607740762
1262331102,11,3000,3,100.417607740762
1262341101,11,140000,7,100.481174883465
1262341102,5,6000,8,100.481174883465
1262351101,5,18000,5,100.15765171502
1262371101,11,250000,7,100.595160125175
1262391201,11,67000,7,100.417607740762
1262401101,6,3000,5,100.111805957177
1262411101,7,76000,5,100.595160125175
1262411102,6,16000,5,100.595160125175
1262421101,11,14000,7,100.417607740762
1262421102,11,27000,5,100.417607740762
1262431101,11,65000,7,100.481174883465
1262441101,12,92000,7,100.417607740762
1262461101,8,110000,7,100.481174883465
1262461102,7,35000,7,100.481174883465
1262471102,11,6000,7,100.481174883465
1262481102,12,1000,2,100.481174883465
1262491102,11,56000,88,100.417607740762
1262491103,6,27000,88,100.417607740762
1262491104,4,8000,88,100.417607740762
1262511102,12,5000,2,100.417607740762
1262531101,12,40000,1,100.42794720071
1262541101,12,35000,3,100.417607740762
1262571104,88,3000,2,100.417607740762
1262571202,88,9000,5,100.417607740762
1262581101,10,78000,4,100.42794720071
1262591101,12,1,7,100.417607740762
1262621101,6,53000,7,100.417607740762
1262621102,6,120000,8,100.417607740762
1262631101,88,38000,1,100.481174883465
1262631102,88,14000,2,100.481174883465
1262631103,88,12000,2,100.481174883465
1262641101,12,22000,7,100.111805957177
1262651101,5,1000,5,100.111805957177
1262651102,5,72000,3,100.111805957177
1262661101,7,91000,5,100.595160125175
1262681101,88,44000,88,100.595160125175
1262681202,88,20000,88,100.595160125175
1262681203,88,66000,88,100.595160125175
1262691101,8,5000,7,100.111805957177
1262701101,9,34000,1,100.111805957177
1262711101,11,13000,1,100.417607740762
1262711102,12,12000,1,100.417607740762
1262721101,8,82000,8,100.417607740762
1262721102,8,95000,8,100.417607740762
1262731101,11,14000,6,100.417607740762
1262741101,11,13000,88,100.179169992005
1262741102,10,58000,88,100.179169992005
1262761101,8,270821,8,100.417607740762
1262771102,12,1000,2,100.111805957177
1262781102,11,62000,5,100.417607740762
1262791102,12,262413,8,100.179169992005
1262801101,6,120000,7,100.481174883465
1262811101,6,24000,8,100.111805957177
1262811102,8,25000,3,100.111805957177
1262821101,10,31000,3,100.111805957177
1262831101,7,16000,8,100.111805957177
1262831102,7,54000,8,100.111805957177
1262841101,13,60000,5,100.417607740762
1262841102,10,59000,7,100.417607740762
1262851101,9,62000,7,100.417607740762
1262851102,9,74000,5,100.417607740762
1262861101,6,59000,5,100.417607740762
1262861102,8,85000,1,100.417607740762
1262871101,10,51000,2,100.417607740762
1262871102,11,78000,5,100.417607740762
1262881101,5,21000,1,100.111805957177
1262891101,11,210000,8,100.417607740762
1262901101,10,92000,2,100.417607740762
1262901102,10,120000,2,100.417607740762
1262901103,4,16000,2,100.417607740762
1262901104,3,19000,2,100.417607740762
1262911101,88,91000,88,100.481174883465
1262911102,88,2000,88,100.481174883465
1262941101,8,220000,5,100.417607740762
1262941102,7,52000,5,100.417607740762
1262951101,9,120000,8,100.481174883465
1262961101,11,29000,1,100.595160125175
1262961102,11,14000,2,100.595160125175
1262971101,11,83000,7,100.417607740762
1262971102,10,66000,7,100.417607740762
1262991101,7,21000,2,100.417607740762
1262991102,3,4000,1,100.417607740762
1263001101,11,40000,5,100.417607740762
1263001102,10,70000,4,100.417607740762
1263001103,5,41000,2,100.417607740762
1263011101,11,2000,5,100.417607740762
1263021101,7,14000,7,100.417607740762
1263021102,6,16000,7,100.417607740762
1263031101,11,110000,7,100.595160125175
1263051101,11,36000,1,100.481174883465
1263051102,11,40000,1,100.481174883465
1263061101,10,85000,8,100.111805957177
1263061102,11,130000,8,100.111805957177
1263071101,6,6000,7,100.111805957177
1263091101,9,28000,6,100.417607740762
1263101101,8,-2000,5,100.417607740762
1263101102,7,16000,5,100.417607740762
1263141101,13,1,1,100.417607740762
1263151101,6,67000,5,100.417607740762
1263151102,8,250000,7,100.417607740762
1263171101,9,82000,5,100.179169992005
1263171102,9,94000,5,100.179169992005
1263201101,11,110000,4,100.595160125175
1263201102,11,68000,2,100.595160125175
1263211101,5,80000,7,100.111805957177
1263221101,6,8000,1,100.417607740762
1263231102,11,23000,5,100.111805957177
1263241101,12,2000,2,100.595160125175
1263241102,12,3000,5,100.595160125175
1263251101,6,53000,88,99.9745842484901
1263251102,6,85000,88,99.9745842484901
1263271101,6,75000,7,100.111805957177
1263281101,10,36000,2,100.111805957177
1263281102,8,110000,1,100.111805957177
1263281103,4,15000,1,100.111805957177
1263291101,8,39000,7,100.111805957177
1263301103,3,1,1,100.481174883465
1263321101,10,4000,88,100.417607740762
1263321102,4,1000,88,100.417607740762
1263321103,3,1000,88,100.417607740762
1263331101,7,92000,5,100.111805957177
1263341101,7,17000,88,100.417607740762
1263341204,11,10000,88,100.417607740762
1263341206,5,10000,88,100.417607740762
1263341307,5,13000,88,100.417607740762
1263351101,7,72000,8,100.417607740762
1263361101,8,110000,3,100.111805957177
1263361102,6,52000,3,100.111805957177
1263371101,6,64000,8,100.417607740762
1263371102,6,48000,5,100.417607740762
1263381101,11,28000,3,100.111805957177
1263381102,11,28000,5,100.111805957177
1263401101,9,36000,6,100.111805957177
1263411101,8,23000,4,100.417607740762
1263411102,7,24000,5,100.417607740762
1263421101,11,1000,2,100.417607740762
1263421102,11,42000,2,100.417607740762
1263431101,10,34000,2,100.595160125175
1263441101,5,1000,4,100.179169992005
1263441102,4,48000,5,100.179169992005
1263451101,11,4000,2,100.417607740762
1263451102,11,1000,2,100.417607740762
1263461101,88,10000,88,100.481174883465
1263461104,88,223011,88,100.481174883465
1263462202,88,38000,88,100.481174883465
1263462203,88,23000,88,100.481174883465
1263471101,9,60000,88,100.417607740762
1263481101,12,1,5,100.111805957177
1263501101,11,130000,8,100.417607740762
1263501102,12,96000,5,100.417607740762
1263511101,4,3000,1,100.964470533697
1263521101,11,110000,88,100.417607740762
1263521102,11,75000,88,100.417607740762
1263521103,4,41000,88,100.417607740762
1263551101,12,22000,2,100.417607740762
1263551102,12,55000,7,100.417607740762
1263561101,8,11000,2,100.481174883465
1263561102,7,11000,5,100.481174883465
1263591101,4,10000,2,100.42794720071
1263601101,12,-1000,7,99.9745842484901
1263641101,12,83000,6,100.964470533697
1263641102,12,2000,5,100.964470533697
1263661101,9,92000,7,100.15765171502
1263661102,8,85000,7,100.15765171502
1263671101,7,47000,3,100.111805957177
1263691101,6,42000,3,100.417607740762
1263691102,5,32000,6,100.417607740762
1263701101,6,110000,7,100.417607740762
1263721101,12,3000,5,100.481174883465
1263721102,12,4000,8,100.481174883465
1263741105,88,6000,2,100.417607740762
1263741201,88,43000,5,100.417607740762
1263741202,88,57000,5,100.417607740762
1263751101,5,3000,7,100.417607740762
1263751102,5,33000,7,100.417607740762
1263751103,5,10000,7,100.417607740762
1263761101,4,26000,2,100.595160125175
1263761102,5,23000,7,100.595160125175
1263771101,8,29000,5,100.417607740762
1263771102,4,1000,2,100.417607740762
1263771103,3,8000,2,100.417607740762
1263771104,3,2000,1,100.417607740762
1263781101,6,59000,8,100.595160125175
1263791101,8,58000,5,100.111805957177
1263791102,9,52000,3,100.111805957177
1263801101,5,68000,7,100.595160125175
1263811101,7,86000,4,100.111805957177
1263821101,7,84000,2,100.111805957177
1263821102,6,9000,2,100.111805957177
1263831101,6,8000,3,100.111805957177
1263831102,7,42000,2,100.111805957177
1263841101,7,88000,7,100.417607740762
1263841102,7,130000,5,100.417607740762
1263851101,5,9000,3,100.111805957177
1263861103,88,12000,88,100.417607740762
1263861104,88,21000,88,100.417607740762
1263862202,88,1000,88,100.417607740762
1263871101,7,327975,8,100.15765171502
1263871102,6,81000,8,100.15765171502
1263881101,9,5000,6,100.417607740762
1263881102,8,33000,5,100.417607740762
1263891101,8,41000,2,100.111805957177
1263891102,9,35000,4,100.111805957177
1263901101,8,98000,7,100.417607740762
1263901102,8,99000,7,100.417607740762
1263911101,9,23000,5,100.481174883465
1263911102,4,1000,2,100.481174883465
1263921101,10,150000,88,100.481174883465
1263921102,10,43000,88,100.481174883465
