GeoUID,Region Name,Population,share_lim_at,share_homeowner,share_burden,share_immigrant,share_university
24410,Alma (D),30331,12.1,0.664133188563156,10.646802325581396,0.7162346521145976,13.044358922422523
24411,Dolbeau-Mistassini (D),15306,13.9,0.6870064608758076,8.538350217076701,0.9850543478260869,10.828282828282829
24412,Sept-Îles (D),27729,10.4,0.6371033360455655,10.275800711743772,1.3441355183207513,12.085682074408117
24421,Québec (B),839311,8.9,0.5827351110309186,14.328718421155068,4.349475590801728,27.61750144431525
24423,Sainte-Marie (D),13134,8.1,0.7045454545454546,8.53211009174312,2.6107594936708862,16.302765647743815
24428,Saint-Georges (D),34833,12.4,0.6282527881040892,11.163080760835673,2.4569663086655877,13.144375553587246
24430,Thetford Mines (D),28287,15.3,0.6750943396226415,10.590015128593041,2.0431328036322363,11.025016603940669
24433,Sherbrooke (B),227398,13.6,0.5480172001911132,15.66658659620466,4.343381567888054,24.298202747461584
24437,Cowansville (D),15234,15.5,0.4992836676217765,17.360114777618364,1.0850542527126357,12.244897959183673
24440,Victoriaville (D),52936,13.9,0.6185696361355082,13.13853268866933,1.9485657764589515,14.189028734267396
24442,Trois-Rivières (B),161489,14.3,0.5724538396294121,12.452333990795529,3.140772173465779,19.265429761453994
24444,Shawinigan (D),49620,18.7,0.5642458100558659,13.968824940047961,1.4798488664987406,11.67936162495466
24447,Drummondville (B),101610,13.5,0.5866068497647445,13.075140681893412,2.561631327990261,12.803383182152489
24450,Granby (K),90833,11.6,0.5997566909975669,14.271701814615007,2.4363986628137573,15.794107687097867
24452,Saint-Hyacinthe (K),59980,13.8,0.4971387696709585,15.883306320907618,5.523230568823274,13.879150340276345
24454,Sorel-Tracy (D),41934,14.7,0.6193993106843919,13.2396449704142,1.075268817204301,10.68485365160557
24456,Joliette (D),52706,14.7,0.5045796865458987,17.79453730126376,2.003388816904216,14.556143445032333
24462,Montréal (B),4291732,12,0.5437883537932293,19.61376906700131,9.835360178582679,29.264468559706792
24465,Salaberry-de-Valleyfield (D),42787,14.1,0.5535625311410065,16.85449536689206,1.2135922330097086,9.811212814645309
24467,Sainte-Agathe-des-Monts (D),19892,15.2,0.6585618210036213,20.695020746887966,1.957249549317538,19.916267942583733
24468,Lachute (D),14100,18.3,0.5130168453292496,17.719568567026194,0.6736526946107785,7.9630444346678395
24480,Val-d'Or (D),34037,11.8,0.5980487804878049,12.195934688437188,1.7354877318970676,14.141968532747896
24481,Amos (D),18873,10.5,0.6622032866707243,10.362047440699126,1.1803458687894592,12.5
24485,Rouyn-Noranda (D),42313,10.5,0.6312240663900415,10.824876398646891,1.622668927100993,16.605383144580085
24502,Hawkesbury (partie du Québec / Quebec part) (D),1816,17.7,0.5277777777777778,17.77777777777778,0.5509641873278237,8.524590163934427
24505,Ottawa - Gatineau (partie du Québec / Quebec part) (B),353293,9.4,0.645902940884581,14.970418134680582,5.408398044291055,27.11798634752086
35501,Cornwall (D),61415,15.7,0.6057835820895522,19.82710016914114,3.0543933054393304,11.992417439888257
35502,Hawkesbury (Ontario part / partie de l'Ontario) (D),10194,20.6,0.514763779527559,21.773399014778324,1.9328585961342828,8.922363847045192
35505,Ottawa - Gatineau (Ontario part / partie de l'Ontario) (B),1135014,8.6,0.657226950041889,19.582847950296777,8.708363180515759,39.25915570204918
35512,Brockville (D),31661,12.5,0.6588153792864565,19.418156326673678,2.2506476683937824,16.40987562650826
35515,Pembroke (D),23814,12.4,0.6866471734892787,17.66732283464567,1.1262724713017112,13.191598360655737
35516,Petawawa (D),18160,3.7,0.6420118343195266,8.524833209785026,1.7924255565192253,17.053103964098728
35521,Kingston (B),172546,10.1,0.6280525134344602,22.630242295284507,4.810352521195894,28.03294708920843
35522,Belleville - Quinte West (B),111184,10.5,0.6942551119766309,18.633132859486057,2.7734553775743707,14.58695652173913
35527,Cobourg (D),20519,9.7,0.6869184455391352,22.75219298245614,2.4519716885743175,20.179762249927514
35528,Port Hope (D),17294,8,0.7834699453551912,20.87378640776699,1.4801657785671996,18.882072256305385
35529,Peterborough (B),128624,10.8,0.6956155143338955,22.100403923831507,3.0953609270209137,22.008497128717494
35530,Kawartha Lakes (D),79247,10.2,0.8283137134994649,19.138229281333544,1.4696361517544996,13.470764617691154
35531,Centre Wellington (D),31093,5.6,0.8054279749478079,16.894781864841747,2.659487681514113,22.20466218885816
35532,Oshawa (B),415311,7.3,0.7493039015062565,23.502645859314438,5.738870456119882,22.910378627140425
35533,Ingersoll (D),13693,8,0.7630375114364135,16.193961573650505,2.1410114433370246,11.770031688546855
35535,Toronto (B),6202225,10.2,0.6510163670678506,30.49895323717799,15.286722188940692,37.99095988909355
35537,Hamilton (B),785184,9.4,0.6857472834927452,23.034866590276643,7.529995862639636,27.71508405761304
35539,St. Catharines - Niagara (B),433604,11,0.7142697726321663,21.72103487064117,5.672417034878255,20.061196642454483
35541,Kitchener - Cambridge - Waterloo (B),575847,9.3,0.6463525974618826,21.990442933284324,11.490762500770158,28.855408858603067
35543,Brantford (B),144162,9.4,0.7155611106151236,20.483885528572717,4.376167154081957,17.000682244584684
35544,Woodstock (D),46705,8.7,0.6518400847233254,21.591511936339522,4.907508161044614,14.992046659597031
35546,Tillsonburg (D),18615,9.4,0.7077764277035237,17.69371568029286,1.8584312653730528,12.15698787492023
35547,Norfolk (D),67490,10,0.8157274868635622,15.570869808157944,2.1442053605134013,12.459807073954984
35550,Guelph (B),165588,7.7,0.6877288663809895,22.033234049224017,7.572560173716243,32.89892740784127
35553,Stratford (D),33232,9.7,0.6581892166836215,19.850441876274644,3.7555794982299524,21.825396825396826
