HH_ID,CMA,MODE,PWDUR,WEIGHT
124577,999,9,9,100.417607740762
124578,535,2,5,100.417607740762
124579,933,2,3,100.481174883465
124580,999,9,9,100.417607740762
124581,462,9,9,100.111805957177
124582,535,5,8,100.417607740762
124583,999,2,2,100.111805957177
124584,535,2,2,100.417607740762
124585,999,9,9,100.417607740762
124586,999,9,9,100.417607740762
124587,999,2,2,100.417607740762
124588,835,2,2,100.595160125175
124589,535,2,4,100.417607740762
124590,535,9,9,100.417607740762
124591,999,9,9,100.417607740762
124592,999,9,9,100.417607740762
124593,999,9,9,100.964470533697
124594,933,2,1,100.481174883465
124595,535,2,2,100.417607740762
124596,999,9,9,100.111805957177
124597,999,9,9,100.417607740762
124598,999,2,1,100.179169992005
124599,999,2,1,100.111805957177
124600,999,9,9,100.964470533697
124601,999,2,5,99.9745842484901
124602,462,6,5,100.111805957177
124603,999,2,8,100.417607740762
124604,999,9,9,100.417607740762
124605,462,9,9,100.111805957177
124606,999,9,9,100.111805957177
124607,999,2,8,100.595160125175
124608,999,9,9,100.417607740762
124609,999,9,9,100.417607740762
124610,999,2,2,100.111805957177
124611,535,2,2,100.417607740762
124612,535,9,9,100.417607740762
124613,462,2,1,100.111805957177
124614,999,9,9,100.481174883465
124615,999,9,9,100.417607740762
124616,933,6,1,100.481174883465
124617,535,9,9,100.417607740762
124618,999,9,9,100.481174883465
124619,462,9,9,100.111805957177
124620,825,9,9,100.595160125175
124621,999,9,9,100.179169992005
124622,535,9,9,100.417607740762
124623,999,1,2,100.964470533697
124624,999,9,9,100.417607740762
124625,999,2,1,100.481174883465
124626,999,9,9,100.481174883465
124627,535,9,9,100.417607740762
124628,999,9,9,100.417607740762
124629,999,9,9,100.964470533697
124630,933,9,9,100.481174883465
124631,999,9,9,100.15765171502
124632,535,6,5,100.417607740762
124633,999,2,2,100.417607740762
124634,535,1,2,100.417607740762
124635,999,9,9,100.417607740762
124636,825,6,3,100.595160125175
124637,462,9,9,100.111805957177
124638,462,2,3,100.111805957177
124639,999,9,9,100.111805957177
124640,835,9,9,100.595160125175
124641,999,2,2,100.111805957177
124642,999,9,8,100.42794720071
124643,933,6,5,100.481174883465
124644,462,2,1,100.111805957177
124645,462,6,3,100.111805957177
124646,999,2,1,100.481174883465
124647,535,2,2,100.417607740762
124648,999,9,9,100.42794720071
124649,535,2,1,100.417607740762
124650,999,7,4,100.111805957177
124651,535,6,5,100.417607740762
124652,535,9,9,100.417607740762
124653,999,9,9,100.417607740762
124654,825,2,2,100.595160125175
124655,999,2,2,100.417607740762
124656,999,9,9,100.964470533697
124657,825,9,9,100.595160125175
124658,462,2,3,100.111805957177
124659,535,9,9,100.417607740762
124660,535,9,9,100.417607740762
124661,999,9,9,100.417607740762
124662,535,9,9,100.417607740762
124663,825,9,9,100.595160125175
124664,999,2,1,100.111805957177
124665,933,9,9,100.481174883465
124666,835,9,9,100.595160125175
124667,535,9,9,100.417607740762
124668,999,9,8,100.111805957177
124669,999,2,5,100.417607740762
124670,462,9,9,100.111805957177
124671,999,9,9,100.417607740762
124672,999,9,9,100.111805957177
124673,462,9,9,100.111805957177
124674,999,9,9,100.417607740762
124675,535,2,3,100.417607740762
124676,835,9,9,100.595160125175
124677,999,9,9,100.417607740762
124678,835,2,2,100.595160125175
124679,999,9,9,100.481174883465
124680,999,9,9,100.179169992005
124681,535,6,5,100.417607740762
124682,535,9,9,100.417607740762
124683,535,4,1,100.417607740762
124684,999,2,1,100.417607740762
124685,535,9,9,100.417607740762
124686,999,9,9,100.417607740762
124687,933,2,1,100.481174883465
124688,462,2,1,100.111805957177
124689,462,9,9,100.111805957177
124690,825,2,1,100.595160125175
124691,999,9,9,100.595160125175
124692,999,2,1,100.42794720071
124693,999,9,9,100.595160125175
124694,462,2,2,100.111805957177
124695,462,9,9,100.111805957177
124696,999,2,2,100.417607740762
124697,933,9,9,100.481174883465
124698,999,9,9,100.964470533697
124699,535,2,3,100.417607740762
124700,999,9,9,100.42794720071
124701,999,9,9,99.9745842484901
124702,535,2,2,100.417607740762
124703,999,9,9,100.417607740762
124704,999,2,2,100.111805957177
124705,535,9,9,100.417607740762
124706,999,9,9,100.417607740762
124707,999,2,2,100.111805957177
124708,999,9,9,100.417607740762
124709,999,9,9,100.111805957177
124710,999,9,9,100.111805957177
124711,999,9,9,100.417607740762
124712,999,9,9,100.417607740762
124713,535,2,3,100.417607740762
124714,999,9,9,100.417607740762
124715,933,9,9,100.481174883465
124716,999,9,9,100.417607740762
124717,999,2,1,100.964470533697
124718,933,9,9,100.481174883465
124719,999,9,9,100.417607740762
124720,999,9,9,100.417607740762
124721,825,9,9,100.595160125175
124722,999,6,5,100.417607740762
124723,999,9,9,101.098005203819
124724,999,7,2,100.481174883465
124725,999,9,9,100.417607740762
124726,999,2,2,100.111805957177
124727,999,9,9,100.595160125175
124728,462,9,9,100.111805957177
124729,933,9,9,100.481174883465
124730,535,9,9,100.417607740762
124731,999,2,1,100.111805957177
124732,999,9,9,100.111805957177
124733,825,2,2,100.595160125175
124734,933,9,9,100.481174883465
124735,999,9,9,100.481174883465
